wp_number,date,title,author,abstract,program,topics,Asset_Pricing,Children_and_Families
32568,2024-06-17,"Creative Destruction, Stock Return Volatility, and the Number of Listed Firms","Söhnke M. Bartram, Gregory W. Brown, René M. Stulz","Average idiosyncratic volatility and firm idiosyncratic volatility increase with the number of listed firms. Average industry idiosyncratic volatility increases with the number of listed firms in the industry. We ex-plain the relation between idiosyncratic volatility and the number of listed firms through Schumpeterian creative destruction. We show that Schumpeterian creative destruction increases as the number of listed firms increases. However, there is no consistent evidence of an incremental effect of the number of non-listed firms on idiosyncratic volatility either in the aggregate or at the industry level, suggesting that listed firms play a unique role in the dynamism of the economy.",Asset Pricing,"Financial Economics, Financial Markets, Portfolio Selection and Asset Pricing",1,0
32570,2024-06-17,Preschool Lottery Admissions and Its Effects on Long-Run Earnings and Outcomes,"Randall Akee, Leah R. Clark","We use an admissions lottery to estimate the effect of a non-means tested preschool program on students’ long-run earnings, employment, family income, household formation, and geographic mobility. We observe long-run outcomes by linking both admitted and non-admitted individuals to confidential administrative data including tax records. Funding for this preschool program comes from an Indigenous organization, which grants Indigenous students admissions preference and free tuition. We find treated children have between 5 to 6 percent higher earnings as young adults. The results are quite large for young women, especially those from the lower half of the initial parental household income distribution. There is also some evidence that children, regardless of gender, from households with below median parental incomes realize the largest average increases in earnings in adulthood. Finally, we find that increased earnings start at ages 21 and older for the treated students. Likely mechanisms include high-quality teachers and curriculum.",Children and Families,"Health, Education, and Welfare, Education, Labor Economics, Labor Compensation",0,1
32571,2024-06-17,Effects of the Expansion of the Earned Income Tax Credit for Childless Young Adults on Material Wellbeing,"Jiwan Lee, Katherine Michelmore, Natasha Pilkauskas, Christopher Wimer","In 2021, the U.S. Congress temporarily expanded the Earned Income Tax Credit for workers without a qualifying child (childless EITC), to help counteract the impact of the COVID-19 pandemic on lower-wage working adults. This expansion roughly tripled the maximum benefits for qualifying filers and lowered the minimum age to claim the credit from 25 to 19, providing new benefits to low-income young adults. Using data from the Census Bureau’s Household Pulse Survey and a difference-in-differences design, this study is among the first to examine the impact of the expanded childless EITC on young adults’ material hardship (food, housing, and expenses). We find that the temporary expansion led to a significant decrease in housing hardship among low-income, childless, young adults, and suggestive evidence that it also reduced food insufficiency and difficulty with expenses. Overall our findings show that the temporary expansion of the childless EITC helped reduce material hardship among young adults.",Children and Families,"Public Economics, Taxation, Health, Education, and Welfare, Poverty and Wellbeing, Labor Economics",0,1
32577,2024-06-17,The Chronic Disease Index: Analyzing Health Inequalities Over the Lifecycle,"Kaveh Danesh, Jonathan T. Kolstad, William D. Parker, Johannes Spinnewijn","The rich live longer than the poor, but relatively little is known about the evolution of health inequality across the lifecycle. Using rich administrative data from the Netherlands, we develop an index of chronic disease burden based on the projected contribution to old-age mortality. Chronic conditions account for one-third of the mortality gap in old age. Using our index we demonstrate that health inequality arises much earlier in life; by age 35, the bottom half of the income distribution has the same disease burden as those age 50 in the top half. Approximately 60% of the divergence across income groups is due to low-income individuals developing chronic illness at a faster rate, rather than chronically ill individuals sorting into lower-income groups. Using linked health survey data, we then examine the contributions of various mediators to the incidence of chronic diseases over the life cycle. Socioeconomic and geographic factors explain most of the variation, while individual health behaviors play a moderate role. Our findings align with calls to target health policies toward early-life social determinants of health.",Children and Families,"Health, Education, and Welfare, Health",0,1
32578,2024-06-17,Fertility Beliefs and Outcomes: The Role of Relationship Status and Attractiveness,"Yifan Gong, Tyler Skura, Ralph Stinebrickner, Todd R. Stinebrickner","Unique data from the Berea Panel Study provides new evidence about fertility outcomes before age 30 and beliefs about these outcomes elicited soon after college graduation. Comparing outcomes and beliefs yields a measure of belief accuracy. Individuals who are unmarried and not in relationships at age 24 are extremely optimistic about the probability of having children, while married individuals have very accurate beliefs. Novel attractiveness measures are central for understanding fertility beliefs and outcomes for females but not for males. Marriage is a mechanism that is relevant for understanding differences in beliefs, outcomes, and misperceptions across relationship and attractiveness groups.",Children and Families,"Labor Economics, Demography and Aging",0,1
32582,2024-06-17,Rent Guarantee Insurance,"Boaz Abramson, Stijn Van Nieuwerburgh","A rent guarantee insurance (RGI) policy makes a limited number of rent payments to the landlord on behalf of an insured tenant unable to pay rent due to a negative income or health expenditure shock. We introduce RGI in a rich quantitative equilibrium model of housing insecurity and show it increases welfare by improving risk sharing across idiosyncratic and aggregate states of the world, reducing the need for a large security deposits, and reducing homelessness which imposes large costs on society. While unrestricted access is not financially viable with either private or public insurance providers due to moral hazard and adverse selection, restricting access can restore viability. Private insurers must target better off renters to break even, while public insurers focus on households most at-risk of homelessness.",Asset Pricing,"Macroeconomics, Consumption and Investment, Fiscal Policy, Financial Economics, Portfolio Selection and Asset Pricing, Financial Markets, Financial Institutions, Regional and Urban Economics, Real Estate",1,0
32583,2024-06-17,Does the EITC Reduce Caregiving for Parents?,"Katherine Michelmore, Anna Wiersma Strauss, Emily E. Wiemers","Families provide substantial care to older adults with functional limitations. Policies that incentivize work have the potential to reduce this valuable care. This study uses the Health and Retirement Study (HRS) and a simulated instrument approach to examine the consequences of increases in the generosity of the Earned Income Tax Credit (EITC), a work-contingent cash benefit, for the care that parents receive from their EITC-eligible daughters. We find that increases in EITC generosity reduce the care that parents receive from their EITC-eligible daughters, especially older parents and those with functional limitations. To assess the full effect of this reduction in caregiving, we examine whether financial transfers increase as a substitute for reduced care, whether other adult children fill the care gap left by EITC-eligible daughters, and whether paid caregiving increases in response to declines in family care. We find no evidence of increased financial transfers and care gaps remain for older parents that are not filled by other children or paid care providers. We conclude that an unintended consequence of the EITC is that the older parents of EITC recipients receive less care from their children overall in response to increased EITC benefit generosity.",Children and Families,"Public Economics, Taxation, Health, Education, and Welfare, Poverty and Wellbeing, Labor Economics, Labor Supply and Demand",0,1
32585,2024-06-17,"Book-Value Wealth Taxation, Capital Income Taxation, and Innovation","Fatih Guvenen, Gueorgui Kambourov, Burhan Kuruscu, Sergio Ocampo-Diaz","When is a wealth tax preferable to a capital income tax? When is the opposite true? More generally, can capital taxation be structured to improve productivity, incentivize innovation, and ultimately increase welfare? We study these questions theoretically in an infinite-horizon model with entrepreneurs and workers, in which entrepreneurial firms differ in their productivity and are subject to collateral constraints. The stationary equilibrium features heterogeneous returns and misallocation of capital. We show that increasing the wealth tax increases aggregate productivity. The gains result from the “use-it-or-lose-it” effect of wealth taxes when returns are heterogeneous, which causes a reallocation of capital from entrepreneurs with low productivity to those with high productivity. Furthermore, if the capital income tax is adjusted to balance the government's budget, aggregate capital, output, and wages also increase. We then study the welfare maximizing combination of wealth and capital income taxes and show that the optimal mix shifts towards a higher wealth tax and a lower capital income tax as the capital intensity of production increases. For a range of plausible parameter values, the optimal wealth tax is positive, whereas the capital income tax can be positive or negative (a subsidy). We then endogenize the entrepreneurial productivity distribution by introducing either ex ante innovation or entrepreneurial effort in production and show that this strengthens our results: by allowing entrepreneurs to keep more of the upside relative to a capital income tax, a wealth tax incentivizes more innovation and entrepreneurial effort, leading to larger increases in productivity, output, and welfare.",Asset Pricing,"Macroeconomics, Consumption and Investment, Fiscal Policy, Public Economics, Taxation, Labor Economics, Labor Compensation",1,0
32589,2024-06-24,Emotions and Subjective Crash Beliefs,"William N. Goetzmann, Dasol Kim, Robert J. Shiller","Over the past two decades, respondents to the Shiller Investor Confidence Surveys assess the probability of a catastrophic stock market crash to be much higher that the historical frequency of such events. We decompose these crash probabilities into fundamental and subjective components and use a large language model to estimate the emotional content of respondent narratives. The subjective crash component is strongly associated with high negative affect. We use respondent location to test how news of unusual exogenous shocks affects crash belief formation. The results are consistent the risk-as-feelings hypothesis and suggest a path by which emotional response to news about salient events may play a role in the scale and variation in investor beliefs about rare disasters.",Asset Pricing,"Macroeconomics, Financial Economics, Portfolio Selection and Asset Pricing, Financial Institutions",1,0
32596,2024-06-24,Exchange Rate Disconnect Revisited,"Ryan Chahrour, Vito Cormun, Pierre De Leo, Pablo A. Guerrón-Quintana, Rosen Valchev","We find that variation in expected U.S. productivity explains over half of U.S. dollar/G7 exchange rate fluctuations. Both correctly-anticipated changes in productivity and expectational noise, which influences the expectation of productivity but not its eventual realization, have large effects. This “noisy news” is primarily related to medium-to-long-run TFP growth, and transmits to the exchange rate by causing significant deviations from uncovered interest parity. Together, these disturbances generate many well-known exchange puzzles, including predictable excess returns, low Backus-Smith correlations, and excess volatility. Our findings suggest these puzzles have a common origin, linked to productivity expectations.",Asset Pricing,"Microeconomics, Economics of Information, International Economics, International Finance, Financial Economics, Financial Markets",1,0
32609,2024-06-24,The Effects of the 2021 Child Tax Credit on Child Developmental Outcomes,"Anna Aizer, Adriana Lleras-Muney, Katherine Michelmore","Child poverty fell to historic lows in 2021, in large part due to the temporary expansion of the Child Tax Credit (CTC). We consider the possible implications of this expansion on children’s short- and long-term development. To do so, we review the available short-run evidence from the 2021 expansion and the existing research evidence on the longer run effects of similar income transfers in childhood on child health and human capital. We conclude that the CTC likely improved child health and well-being in the short and long run, with greater impacts for poor children and modest or nonexistent effects for non-poor children. Moreover, the effects might be more substantial for younger children and for those in places with weaker safety nets.",Children and Families,"Health, Education, and Welfare, Education, Poverty and Wellbeing, Labor Economics, Labor Compensation",0,1
32611,2024-06-24,Firms' Perceived Cost of Capital,"Niels Joachim Gormsen, Kilian Huber","We study hand-collected data on firms’ perceptions of their cost of capital. Firms with higher perceived cost of capital earn higher returns on invested capital and invest less, suggesting that the perceived cost of capital shapes long-run capital allocation. The perceived cost of capital is partially related to the true cost of capital, which is determined by risk premia and interest rates, but there are also large deviations between the perceived and true cost of capital. Only 20% of the variation in the perceived cost of capital is justified by variation in the true cost of capital. The remaining 80% reflects deviations that are consistent with managers making mistakes. These deviations lead to misallocation of capital that lowers long-run aggregate productivity by 5% in a benchmark model. Forcing all firms to apply the same cost of capital would improve the allocation of capital relative to current corporate practice. The deviations in the perceived cost of capital challenge standard models, in particular the production-based asset pricing paradigm, and lead us to reject the “Investment CAPM.” We describe actionable methods that allow firms to improve their perceptions and capital allocation.",Asset Pricing,"Macroeconomics, Money and Interest Rates, Financial Economics, Financial Markets, Corporate Finance, Behavioral Finance, Development and Growth, Growth and Productivity",1,0
32615,2024-07-01,Household Climate Finance: Theory and Survey Data on Safe and Risky Green Assets,"Shifrah Aron-Dine, Johannes Beutel, Monika Piazzesi, Martin Schneider","This paper studies green investing in a quantitative asset pricing model with heterogeneous investors calibrated using high-quality, representative survey data of German households. We find substantial heterogeneity in green taste for both safe and risky green assets throughout the wealth distribution. Model counterfactuals show nonpecuniary benefits and hedging demands currently make green equity more expensive for firms. Yet, these taste effects are dominated by optimistic expectations about green equity returns, lowering firms' cost of green equity to a greenium of 1%. Looking ahead, we use our model to trace out the aggregate effects of information provision in an RCT and find green equity investment could potentially double when information about green finance spreads across the population. Regarding safe green assets, our model counterfactuals show that if green deposits could be offered at a 50 basis point interest rate spread, aggregate green investments in the economy could quadruple in the medium run.",Asset Pricing,"Macroeconomics, International Economics",1,0
32617,2024-07-01,Intergenerational Human Capital Impacts and Complementarities in Kenya,"Madeline Duhon, Lia Fernald, Joan Hamory, Edward Miguel, Eric Ochieng, Michael W. Walker","This study exploits experimental variation in parent human capital (early-life school-based deworming) and a shock to schooling (extended Covid closures) to estimate how these factors interact in the production of child human capital within a sample of 3,500 Kenyan 3-8 year olds. Parents with additional exposure to childhood deworming have children with improved human capital, including in health, non-cognitive development, and cognition; cognitive scores are +0.26 standard deviation units higher among treated parents' school-age children, only prior to school closures. Findings are interpreted through a model where home-based and school inputs are complements in the production of child cognition.",Children and Families,"Health, Education, and Welfare, Labor Economics, Labor Supply and Demand, Development and Growth, Development",0,1
32620,2024-07-01,Bond Market Views of the Fed,"Luigi Bocola, Alessandro Dovis, Kasper Jørgensen, Rishabh Kirpalani","This paper uses high frequency data to detect shifts in financial markets' perception of the Federal Reserve stance on inflation. We construct daily revisions to expectations of future nominal interest rates and inflation that are priced into nominal and inflation-protected bonds, and find that the relation between these two variables-positive and stable for over twenty years-has weakened substantially over the 2020-2022 period. In the context of canonical monetary reaction functions considered in the literature, these results are indicative of a monetary authority that places less weight on inflation stabilization. We augment a standard New Keynesian model with regime shifts in the monetary policy rule, calibrate it to match our findings, and use it as a laboratory to understand the drivers of U.S. inflation post 2020. We find that the shift in the monetary policy stance accounts for half of the observed increase in inflation.",Asset Pricing,"Macroeconomics, Monetary Policy, Financial Economics, Financial Markets",1,0
32621,2024-07-01,The Golden Revolving Door,"Ling Cen, Lauren Cohen, Jing Wu, Fan Zhang","Using both the onset of the US-China trade war in 2018 and the most recent Russia-Ukraine war and associated trade tensions, we show a counterintuitive pattern in global trade. Namely, while the average firm trading with these nations significantly decreases their trade with these jurisdictions following sanctions, government-linked firms show a marked contrast. In particular, government-linked firms actually significantly increase their trading activity following the onset of formal sanctions. The increase is large - roughly 33% (t=4.01). We find no increase broadly to other countries (even countries in the same regions) at the same time, nor of these same firms in these same regions at other times. In terms of mechanism, government-linked supplier firms are nearly twice as likely to receive tariff exemptions. More broadly, these effects are increasing in the level of government connection. For instance, firms geographically closer to the government agencies they supply increase their imports more acutely. Using micro-level data, government-supplying firms recruiting more employees with past government work experience also increase trading activity more – particularly when the past employee worked in a government-contracting role. Lastly, this results in sizable accrued benefits in terms of firm-level profitability, market share gains, and outsized stock returns.",Asset Pricing,"International Economics, International Macroeconomics, Globalization and International Relations, Financial Economics, Financial Markets, Corporate Finance",1,0
32628,2024-07-01,Wealth at Birth and its Effect on Child Academic Achievement and Behavioral Problems,"Luis F. Faundez, Robert Kaestner","In this article, we examine the association between family wealth and academic achievement and socioemotional behaviors of children ages 5 to 12. We examine whether wealth prior to birth and at ages 4 or 5 affects academic test scores and behavioral problems during two periods of childhood, ages 5 to 8 and ages 9 to 12, for a large and relatively recent cohort of children. We also examine associations between different forms of wealth (e.g., home equity) and child achievement and behaviors. Finally, we assess whether wealth prior to birth mediates racial/ethnic disparities in child achievement and disparities in achievement by maternal education/ability (AFQT). Results of our analysis indicate that wealth, particularly financial wealth that is the most liquid, has a modest positive association with achievement test scores. We also find that wealth is associated with fewer behavioral problems, but these results are less robust.",Children and Families,"Public Economics, Public Goods, Health, Education, and Welfare, Education, Poverty and Wellbeing",0,1
32629,2024-07-01,Social Comparisons and Adolescent Body Misperception: Evidence from School Entry Cutoffs,"Christopher S. Carpenter, Brandyn F. Churchill","We provide novel evidence on the role of social comparisons in shaping adolescent body misperception. Using an instrumental variables approach leveraging variation in relative age generated by school entry cutoff months and data from the Health Behaviour in School-Aged Children study, we show that relatively older students are more likely to misperceive their weight harshly relative to their BMIs compared to their same-age counterparts who are relatively younger within their classrooms. Meanwhile, relatively younger students are more likely to misperceive their weight leniently relative to their BMIs. We then show that relatively older students are less likely to be overweight or obese, consume more low-calorie foods, and report higher levels of physical activity. Overall, our results suggest that relatively older students base their weight-related expectations and behaviors on their younger peers, while relatively younger students compare themselves to their older peers.",Children and Families,"Health, Education, and Welfare, Health",0,1
32632,2024-07-01,How Good are Proxies for Legal Status? Evidence from the Legalization of Two Million Mexicans,"Elizabeth U. Cascio, Ethan G. Lewis, Chengguo Zhang","Two million Mexicans were granted lawful permanent residency in the U.S. under the Immigration Reform and Control Act of 1986 (IRCA). We find that a prominent proxy for legal status poorly detects this event. A decade after legalization, the share of Mexicans who are likely legal according to this proxy shows little change in survey data. Estimates rule out increases of three and eight percentage points relative to comparison groups of Mexican Americans and non-Hispanic Blacks, respectively – figures well below expectations based on administrative data. In contrast, an actual measure of status, citizenship, does rise in line with administrative facts.",Children and Families,"Public Economics, National Fiscal Issues, Labor Economics, Demography and Aging, Labor Supply and Demand, Unemployment and Immigration",0,1
32635,2024-07-01,The Intergenerational Effects of Permanent Legal Status,"Elizabeth U. Cascio, Paul Cornell, Ethan G. Lewis","We estimate the effects of permanent legal status on the health of children born to immigrants in the United States using variation from the Immigration Reform and Control Act of 1986 (IRCA). Our empirical approach compares trends in birth outcomes for foreign-born Mexican mothers across counties with different application rates under IRCA’s large-scale legalization programs. Maternal legalization raised birthweight. Effects arose immediately after the application process began – five years before affected women became Medicaid-eligible – suggesting causal mechanisms besides improved access to early prenatal care. Changes in the composition of births, stemming from changes in fertility and family reunification, contribute to but far from fully explain the birthweight impacts. The more likely mechanisms were instead the increases in family income and reductions in stress that came from gaining legal status.",Children and Families,"Health, Education, and Welfare, Health, Labor Economics, Demography and Aging, Unemployment and Immigration, Other, Law and Economics",0,1
32642,2024-07-08,The Lasting Impacts of Middle School Principals,"Eric A. Hanushek, Andrew J. Morgan, Steven G. Rivkin, Jeffrey C. Schiman, Ayman Shakeel, Lauren Sartain","Using rich Texas administrative data, we estimate the impact of middle school principals on post-secondary schooling, employment, and criminal justice outcomes. The results highlight the importance of school leadership, though striking differences emerge in the relative importance of different skill dimensions to different outcomes. The estimates reveal large and highly significant effects of principal value-added to cognitive skills on the productive activities of schooling and work but much weaker effects of value-added to noncognitive skills on these outcomes. In contrast, there is little or no evidence that middle school principals affect the probability a male is arrested and has a guilty disposition by raising cognitive skills but strong evidence that they affect these outcomes through their impacts on noncognitive skills, especially those related to the probability of an out-of-school suspension. In addition, the principal effects on the probability of engagement in the criminal justice system are much larger for Black than for nonBlack males, corresponding to race differences in engagement with the criminal justice system.",Children and Families,"Health, Education, and Welfare, Education, Labor Economics, Labor Market Structures",0,1
32645,2024-07-08,Intrahousehold Welfare: Theory and Application to Japanese Data,"Pierre-André Chiappori, Costas Meghir, Yoko Okuyama","In this paper we develop a novel approach to measuring individual welfare within households, recognizing that individuals may have both different preferences (particularly regarding public consumption) and differential access to resources. We construct a money metric measure of welfare that accounts for public goods (by using personalized prices) and the allocation of time. We then use our conceptual framework to analyse intrahousehold inequality in Japan, allowing for the presence of two public goods: expenditures on children and other public goods including housing. We show empirically that women have much stronger preferences for both public goods and this has critical implications for the distribution of welfare in the household.",Children and Families,"Public Economics, Taxation, Public Goods, Labor Economics, Demography and Aging, Labor Supply and Demand",0,1
32662,2024-07-15,The Effects of the 2021 Child Tax Credit on Parents’ Psychological Well-Being,"Lisa A. Gennetian, Anna Gassman-Pines","Although improving psychological well-being was not the explicit focus of the 2021 expanded Child Tax Credit (CTC), psychological health outcomes may have been affected by the positive income shocks generated by the credit. In this chapter we ask: How did the 2021 expanded CTC affect parents’ psychological well-being? Some studies have found that the CTC led to reductions in parental reports of clinical levels of depression and anxiety and in subclinical depressive and anxiety symptoms. Using similar methods, other studies have found no effect on these same outcomes. Importantly, however, the evidence does not point to the CTC worsening psychological well-being. We conclude that the evidence so far is thin, narrow, and mixed, even when our review is expanded to comparable studies on the impact of income support. Alignment of policy objectives with a broader range of measurement approaches will be important in building a more conclusive evidence base.",Children and Families,"Public Economics, Taxation, Health, Education, and Welfare, Poverty and Wellbeing, Labor Economics, Demography and Aging",0,1
32671,2024-07-15,Alternative Measures of Teachers’ Value Added and Impact on Short and Long-Term Outcomes: Evidence From Random Assignment,"Victor Lavy, Rigissa Megalokonomou","A recent critique of using teachers’ test score value-added (TVA) is that teacher quality is multifaceted; some teachers are effective in raising test scores, others are effective in improving long-term outcomes. This paper exploits an institutional setting where high school teachers are randomly assigned to classes to compute multiple long-run TVA measures based on university schooling outcomes and high school behavior. We find substantial correlations between test scores and long-run TVA but zero correlations between these two TVA measures and behavior TVA. We find that short-term test-score TVA and long-run TVA are highly correlated and equally good predictors of long-term outcomes.",Children and Families,"Health, Education, and Welfare, Education, Labor Economics, Labor Supply and Demand",0,1
32672,2024-07-15,Lessons from the Biggest Business Tax Cut in US History,"Gabriel Chodorow-Reich, Owen M. Zidar, Eric Zwick","We assess the business provisions of the 2017 Tax Cuts and Jobs Act, the biggest corporate tax cut in US history. We draw five lessons. First, corporate tax revenue fell by 40 percent due to the lower rate and more generous expensing. Second, firms with larger declines in their effective tax wedge increased investment relatively more. In aggregate, we suggest a loose consensus from the literature that total tangible corporate investment increased by 11 percent. Third, the business tax provisions increased economic growth and wages by less than advertised by the Act’s proponents, with long-run GDP higher by less than 1% and labor income by less than $1,000 per employee. Fourth, provisions that increase foreign investment by US-based multinationals also boost their domestic operations. Fifth, some of the expired and expiring provisions, such as accelerated depreciation, generate more investment per dollar of tax revenue than others.",Asset Pricing,"Public Economics, Taxation, Other, Law and Economics",1,0
32674,2024-07-15,On the Determinants of Young Adult Outcomes: Impacts of Randomly Assigned Neighborhoods For Children in Military Families,"Laura Kawano, Bruce Sacerdote, William L. Skimmyhorn, Michael Stevens","Using the quasi-random assignment of 760,000 children in U.S. military families, we show that neighborhood attributes experienced during childhood have powerful impacts on SAT scores, college-going and earnings. For earnings and college going outcomes, location during high school is twice as important as location during elementary school, and for SAT scores, location during middle school has the strongest impact. There is little evidence of positive interactions in neighborhood quality across ages groups. Importantly, the same locations benefit children with equal potency across race or sex. Twenty years of exposure in a 1 standard deviation ""better"" county raises SAT composite scores by 10 points (1.8 percentiles), raises college attendance by 1.7 percentage points, earnings by 2.2 percentile points, and lowers EITC receipt by 10%. Impacts are three times more potent when we measure neighborhood quality at the zip code level: twenty years of exposure to a one (county level) standard deviation better zip code raises college going by 6.7 percentage points, SAT composite by 38 points and income percentile at age 25 by 6.1 points. By equalizing average neighborhood quality for Black and White families, we estimate that the Army's quasi-random assignment reduces Black-white earnings gaps among the children of Army personnel by 23%.",Children and Families,"Health, Education, and Welfare, Education, Labor Economics",0,1
32676,2024-07-15,Investment in Preventive Care for Children of Middle Eastern Ancestry During the Trump Administration,"Shooshan Danagoulian, Owen Fleming, Daniel S. Grossman, David Slusky","Individuals of Middle Eastern and North African (MENA) ancestry in the US have been targeted by anti-immigrant and counterterrorism policies and have been the focus of vitriolic political rhetoric. Despite this, lack of data identifying MENA individuals has prevented systematic evaluation of the impact of these policies and rhetoric on MENA communities’ wellbeing, including investment in health capital. This paper begins to address this gap in knowledge using a large, longitudinal medical records database with expanded race and ethnicity measures to describe disparities and evaluate the impact of immigration policies and anti-MENA rhetoric on preventive care use among MENA children in the US. Specifically, we evaluate the election of Donald Trump, and find that the election decreased MENA children’s utilization of vaccinations and well visits. Documenting MENA health and outcomes following official US policy and rhetoric is paramount for understanding the full consequences of policies that target underrepresented groups.",Children and Families,"Public Economics, Health, Education, and Welfare, Health, Labor Economics, Demography and Aging",0,1
32678,2024-07-15,The Economics of Biodiversity Loss,"Stefano Giglio, Theresa Kuchler, Johannes Stroebel, Olivier Wang","We explore the economic effects of biodiversity loss by developing an ecologically-founded model that captures how different species interact to deliver the ecosystem services that complement other factors of economic production. Aggregate ecosystem services are produced by combining several non-substitutable ecosystem functions such as pollination and water filtration, which are each provided by many substitutable species playing similar roles. As a result, economic output is an increasing but highly concave function of species richness. The marginal economic value of a species depends on three factors: (i) the number of similar species within its ecosystem function, (ii) the marginal importance of the affected function for overall ecosystem productivity, and (iii) the extent to which ecosystem services constrain economic output in each country. Using our framework, we derive expressions for the fragility of ecosystem service provision and its evolution over time, which depends, among other things, on the distribution of biodiversity losses across ecosystem functions. We discuss how these fragility measures can help policymakers assess the risks induced by biodiversity loss and prioritize conservation efforts. We also embed our model of ecosystem service production in a standard economic model to study optimal land use when land use raises output at the cost of reducing biodiversity. We find that even in settings where species loss does not reduce output substantially today, it lowers growth opportunities and reduces resilience to future species loss, especially when past species loss has been asymmetric across functions. Consistent with these predictions of our model, we show empirically that news about biodiversity loss increases spreads on credit default swaps (CDS) more for countries with more depleted ecosystems.",Asset Pricing,"Macroeconomics, Business Cycles, Fiscal Policy, Environmental and Resource Economics, Environment",1,0
32680,2024-07-15,Higher-Order Beliefs and Risky Asset Holdings,"Yuriy Gorodnichenko, Xiao Yin","We combine a customized survey and randomized controlled trial (RCT) to study the effect of higher-order beliefs on U.S. retail investors’ portfolio allocations. We find that investors’ higher-order beliefs about stock market returns are correlated with but distinct from their first-order beliefs. Furthermore, the differences between the two vary systematically according to investor characteristics. We use information treatments in the RCT to create exogenous differential variations in first- and higher-order beliefs. We find that an exogenous increase in first-order beliefs increases the portfolio share allocated to the stock market (risky assets), while an exogenous increase in higher-order beliefs reduces it.",Asset Pricing,"Econometrics, Data Collection, Microeconomics, Economics of Information, Financial Economics, Portfolio Selection and Asset Pricing",1,0
32693,2024-07-15,Identifying Shocks to Systematic Risk in Times of Crisis,"Jacob Boudoukh, Yukun Liu, Tobias J. Moskowitz, Matthew P. Richardson","We characterize how risk evolves during a crisis. Using high-frequency data, we find that the first two principal components (PCs) of the covariance matrix of global asset returns experience large, sudden, and temporary spikes coinciding with well-known crises – Covid-19 pandemic, Global Financial Crisis, and Brexit. Despite the origin of these crises being very different, the risk dynamics share remarkably common features: PC1 shocks come solely from asset volatility, while PC2 shocks come from changing loadings/composition, effectively making it a “crisis” factor. Using the exogenous nature of Covid-19, we provide novel identification of risk dynamics by linking these changes to news about the virus and epidemiological model forecast errors over time and across countries. We conclude with investment implications, where shocks to systematic risk sharply reduce diversification benefits and ex ante attempts to hedge it are futile, which may be a defining characteristic of a crisis – that it is unavoidable.",Asset Pricing,"International Economics, International Finance, Financial Economics, Financial Markets, Portfolio Selection and Asset Pricing",1,0
32697,2024-07-29,Changing Opportunity: Sociological Mechanisms Underlying Growing Class Gaps and Shrinking Race Gaps in Economic Mobility,"Raj Chetty, Will S. Dobbie, Benjamin Goldman, Sonya Porter, Crystal Yang","We show that intergenerational mobility changed rapidly by race and class in recent decades and use these trends to study the causal mechanisms underlying changes in economic mobility. For white children in the U.S. born between 1978 and 1992, earnings increased for children from high-income families but decreased for children from low-income families, increasing earnings gaps by parental income (“class”) by 30%. Earnings increased for Black children at all parental income levels, reducing white- Black earnings gaps for children from low-income families by 30%. Class gaps grew and race gaps shrank similarly for non-monetary outcomes such as educational attainment, standardized test scores, and mortality rates. Using a quasi-experimental design, we show that the divergent trends in economic mobility were caused by differential changes in childhood environments, as proxied by parental employment rates, within local communities defined by race, class, and childhood county. Outcomes improve across birth cohorts for children who grow up in communities with increasing parental employment rates, with larger effects for children who move to such communities at younger ages. Children’s outcomes are most strongly related to the parental employment rates of peers they are more likely to interact with, such as those in their own birth cohort, suggesting that the relationship between children’s outcomes and parental employment rates is mediated by social interaction. Our findings imply that community-level changes in one generation can propagate to the next generation and thereby generate rapid changes in economic mobility.",Children and Families,"Public Economics, Labor Economics",0,1
32707,2024-07-22,Quantities and Covered-Interest Parity,"Tobias J. Moskowitz, Chase P. Ross, Sharon Y. Ross, Kaushik Vasudevan","Studies of intermediated arbitrage argue that bank balance sheets are an important consideration, yet little evidence exists on banks’ positioning in this context. Using confidential supervisory data (covering $25 trillion in daily notional exposures) we examine banks’ positions in connection with covered-interest parity (CIP) deviations. Exploiting cross-sectional variation in CIP deviations that have largely challenged existing theories, we document three novel forces that drive bases: 1) foreign safe asset scarcity, 2) market power and segmentation of banks specializing in different markets, and 3) concentration of demand. Our findings shed empirical light on the interplay of frictions influencing banks’ provision of dollar funding.",Asset Pricing,"International Economics, International Finance, Financial Economics, Financial Markets, Portfolio Selection and Asset Pricing, Financial Institutions",1,0
32715,2024-07-22,Subjective Income Expectations and Household Debt Cycles,"Francesco D’Acunto, Michael Weber, Xiao Yin","Matched transaction-level, credit-registry, and survey-based data reveal that consumers on average form excessively high (low) income expectations relative to ex-post realizations after unexpected positive (negative) income shocks. These extrapolative income expectations lead consumers to increase current spending, accumulate more debt, and face more defaults when lower-than-expected incomes are realized. We assess the aggregate implications by estimating a consumption model with defaultable unsecured debt and diagnostic Kalman filtering whereby consumers over-extrapolate income shocks when forming expectations. Extrapolative income expectations help explain state-dependent household debt cycles qualitatively and quantitatively.",Asset Pricing,"Microeconomics, Households and Firms, Economics of Information, Macroeconomics, Consumption and Investment, Financial Economics",1,0
